,Date,Constant,Mkt
"438-1",1927-12-15,0.020080323688485037,0.76167400536485297
"439-1",1927-12-16,0.019970564754772036,0.76332345951507419
"440-1",1927-12-17,0.019863177527556179,0.76548757509945364
"441-1",1927-12-19,0.019759586250482193,0.76771409393990953
"442-1",1927-12-20,0.019652978755919866,0.76962326944714332
"443-1",1927-12-21,0.019551642735340477,0.77154977695972815
"444-1",1927-12-22,0.019450047493266061,0.77348225050732988
"445-1",1927-12-23,0.019349968363983935,0.77538481521905689
"446-1",1927-12-24,0.019248028311140961,0.77716500984143477
"447-1",1927-12-27,0.019146279584747575,0.77895401129750363
"448-1",1927-12-28,0.019043438466661358,0.78073942109425154
"449-1",1927-12-29,0.018937460235940486,0.78311275560226079
"450-1",1927-12-30,0.018832609800082188,0.78554171102386006
"451-1",1927-12-31,0.018724013792866988,0.78744112095031449
"452-1",1928-01-03,0.018615531251271439,0.78935246886137544
"453-1",1928-01-04,0.018505181397067798,0.79098753878075545
"454-1",1928-01-05,0.018394913865597783,0.79261881935148237
"455-1",1928-01-06,0.018284856018777447,0.79419977231930572
"456-1",1928-01-07,0.018175017454540792,0.79582542580721438
"457-1",1928-01-09,0.018064921498813401,0.79744177028253926
"458-1",1928-01-10,0.017950356328161894,0.80036590470305669
"459-1",1928-01-11,0.01783646575732804,0.80310594451966599
"460-1",1928-01-12,0.017720817946347535,0.8057766530735806
"461-1",1928-01-13,0.017608780299415299,0.80904085201372833
"462-1",1928-01-14,0.017496542579930299,0.8122649241937806
"463-1",1928-01-16,0.017380311942233353,0.81636858977838789
